2018/10/15 10:38:21.181 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:38:21.181 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:38:22.186 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:38:22.186 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:38:23.190 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:38:23.190 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:38:24.195 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:38:24.196 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:38:25.197 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:38:25.197 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:38:26.201 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:38:26.201 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:38:27.202 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:38:27.202 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:38:28.207 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:38:28.207 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:38:29.211 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:38:29.211 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:38:30.215 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:38:30.216 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:38:31.216 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:38:31.216 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:38:32.218 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:38:32.218 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:38:33.223 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:38:33.223 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:38:34.226 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
